Year,School,Conf,Wins,Losses,Win Pct,Conf Wins,Conf Losses,Conf Win Pct,Off PPG,Def PPG,SRS,SOS,AP Pre,AP High,AP Rank,Football Total Operating Expenses
2017,Air Force,MWC,5,7,0.417,4,4,0.5,31.4,32.4,-4.77,-1.02,,,,"$9,856,121"
2018,Air Force,MWC,5,7,0.417,3,5,0.375,30.3,25.8,-1.72,-3.8,,,,"$9,798,847"
2019,Air Force,MWC,11,2,0.846,7,1,0.875,34.1,19.8,10.47,-2.22,,22,22,"$10,973,009"
2022,Air Force,MWC,10,3,0.769,5,3,0.625,27.8,13.4,4.13,-7.41,,,,"$11,422,176"
2017,Akron,MAC,7,7,0.5,6,2,0.75,22.1,28,-4.82,-1.96,,,,"$12,102,221"
2018,Akron,MAC,4,8,0.333,2,6,0.25,18.9,27.2,-11.66,-3.33,,,,"$12,994,552"
2019,Akron,MAC,0,12,0,0,8,0,10.5,36.3,-26.64,-7.06,,,,"$7,523,215"
2020,Akron,MAC,1,5,0.167,1,5,0.167,17.2,41.3,-8.82,5.52,,,,"$5,385,395"
2021,Akron,MAC,2,10,0.167,1,7,0.125,19.8,39.5,-16.82,-4.41,,,,"$6,437,759"
2022,Akron,MAC,2,10,0.167,1,7,0.125,21.8,33.5,-13.49,-5.16,,,,"$7,896,714"
2017,Alabama,SEC,13,1,0.929,7,1,0.875,37.1,11.9,21.25,5.46,1,1,1,"$62,944,471"
2018,Alabama,SEC,14,1,0.933,8,0,1,45.6,18.1,25.29,6.63,1,1,2,"$69,718,057"
2019,Alabama,SEC,11,2,0.846,6,2,0.75,47.2,18.6,21.11,2.81,2,1,8,"$58,508,851"
2020,Alabama,SEC,13,0,1,10,0,1,48.5,19.4,30.26,9.72,3,1,1,"$59,515,883"
2021,Alabama,SEC,13,2,0.867,7,1,0.875,39.9,20.1,19.62,5.69,1,1,2,"$78,521,050"
2022,Alabama,SEC,11,2,0.846,6,2,0.75,41.1,18.2,19.66,4.58,1,1,5,"$83,333,815"
2017,Appalachian State,Sun Belt,9,4,0.692,7,1,0.875,33.5,20.2,0.59,-7.72,,,,"$9,257,326"
2018,Appalachian State,Sun Belt,11,2,0.846,7,1,0.875,37.3,15.5,9.76,-4.78,,25,,"$9,753,118"
2019,Appalachian State,Sun Belt,13,1,0.929,7,1,0.875,38.8,20,11.49,-3.8,,19,19,"$9,738,225"
2020,Appalachian State,Sun Belt,9,3,0.75,6,2,0.75,33.8,20,5.47,-5.95,,23,,"$9,785,359"
2021,Appalachian State,Sun Belt,10,4,0.714,7,1,0.875,34.5,22.1,7.28,-2.43,,,,"$11,995,591"
2022,Appalachian State,Sun Belt,6,6,0.5,3,5,0.375,34.9,26.8,0.63,-3.71,,,,"$13,616,432"
2017,Arizona,Pac-12,7,6,0.538,5,4,0.556,41.3,34.4,3.17,-0.98,,23,,"$32,500,874"
2018,Arizona,Pac-12,5,7,0.417,4,5,0.444,31.3,32.6,-0.57,0.76,,,,"$22,568,496"
2019,Arizona,Pac-12,4,8,0.333,2,7,0.222,26.9,35.8,-4.25,3.17,,,,"$22,116,726"
2020,Arizona,Pac-12,0,5,0,0,5,0,17.4,39.8,-14.08,1.12,,,,"$25,867,931"
